PO_ID,Vendor_ID,Vendor_Name,PO_Date,Delivery_Date,SKU,Quantity,Unit_Price,Currency,Total,Status,Approver
PO-2024-0258,V-1054,Noor Industries Ltd,2024-07-27,2024-08-08,HH-3003,5000,7.45,SAR,37250.0,Closed,hala.alsaud@tamween.sa
PO-2024-0307,V-1133,Kayan Hygiene Co LLC,2024-07-27,2024-08-26,BV-2012,3000,47.95,SAR,143850.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0416,V-1013,Levant Co Ltd,2024-07-27,2024-08-23,BV-2021,500,24.72,SAR,12360.0,Closed,layla.alotaibi@tamween.sa
PO-2024-0189,V-1194,Watani Manufacturing Ltd,2024-07-28,2024-08-27,HH-3010,3000,14.4,SAR,43200.0,Closed,noor.alshamri@tamween.sa
PO-2024-0219,V-1156,Ibn Sina Confectionery Group,2024-07-28,2024-08-17,FG-1021,1500,58.33,SAR,87495.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0381,V-1166,Noor Print Services Group,2024-07-28,2024-08-15,BV-2016,1500,56.61,SAR,84915.0,Closed,reem.alharbi@tamween.sa
PO-2024-0391,V-1121,Watani Group LLC,2024-07-28,2024-08-10,BV-2011,250,10.65,SAR,2662.5,Closed,hala.alsaud@tamween.sa
PO-2024-0038,V-1042,Arabian Materials Trading Co LLC,2024-08-01,2024-08-29,CM-4008,1500,14.78,SAR,22170.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0384,V-1121,Watani Group LLC,2024-08-01,2024-08-15,HH-3009,1500,44.81,SAR,67215.0,Closed,fahad.albalawi@tamween.sa
PO-2024-0008,V-1036,Nile Marketing LLC,2024-08-02,2024-08-20,CM-4006,5000,8.09,SAR,40450.0,Closed,noor.alshamri@tamween.sa
PO-2024-0135,V-1086,Khaleej Confectionery Company,2024-08-02,2024-08-12,HH-3001,2000,50.34,SAR,100680.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0239,V-1065,Zahra Industries Company,2024-08-02,2024-08-23,FG-1005,250,34.25,SAR,8562.5,Closed,khalid.almutairi@tamween.sa
PO-2024-0285,V-1171,Najd Imports Company,2024-08-02,2024-08-16,FG-1008,500,38.47,SAR,19235.0,Closed,noor.alshamri@tamween.sa
PO-2024-0309,V-1040,Saudi Wines & Spirits Co LLC,2024-08-02,2024-08-13,FG-1029,1000,46.57,SAR,46570.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0376,V-1052,Tigris Exports Group,2024-08-02,2024-08-17,CM-4005,250,54.96,SAR,13740.0,Closed,layla.alotaibi@tamween.sa
PO-2024-0207,V-1016,Najd Confectionery Co,2024-08-03,2024-08-28,FG-1016,1000,43.1,SAR,43100.0,Closed,fahad.albalawi@tamween.sa
PO-2024-0061,V-1131,Maghrib Cleaning Co,2024-08-04,2024-08-20,FG-1005,5000,50.14,SAR,250700.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0179,V-1120,Premier International Group,2024-08-04,2024-08-29,FG-1005,1000,4.84,SAR,4840.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0059,V-1119,Arabian Snacks Company,2024-08-05,2024-08-16,CM-4009,250,25.17,SAR,6292.5,Closed,yousef.alsubaie@tamween.sa
PO-2024-0194,V-1043,Mada Foods Co LLC,2024-08-05,2024-08-30,CM-4002,4200,23.92,SAR,100464.0,Closed,sara.aldosari@tamween.sa
PO-2024-0247,V-1107,Faridi Marketing Trading LLC,2024-08-05,2024-08-24,CM-4013,1000,34.28,SAR,34280.0,Closed,noor.alshamri@tamween.sa
PO-2024-0267,V-1202,Al-Faisal Exports Co LLC,2024-08-05,2024-08-23,BV-2020,5000,41.55,SAR,207750.0,Closed,omar.faridi@tamween.sa
PO-2024-0371,V-1063,Bin Laden Snacks Co LLC,2024-08-05,2024-08-27,HH-3011,2000,52.35,SAR,104700.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0237,V-1027,Ibn Sina Exports Group,2024-08-06,2024-09-01,BV-2005,3000,41.65,SAR,124950.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0337,V-1200,Tihama Manufacturing Ltd,2024-08-06,2024-08-25,CM-4005,3000,39.41,SAR,118230.0,Closed,sara.aldosari@tamween.sa
PO-2024-0340,V-1169,Sahara Confectionery Group,2024-08-06,2024-09-01,FG-1029,1500,47.06,SAR,70590.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0054,V-1150,Oasis Enterprises Ltd,2024-08-07,2024-08-17,HH-3017,3000,25.78,SAR,77340.0,Closed,hala.alsaud@tamween.sa
PO-2024-0144,V-1056,Bayt Beverages Co,2024-08-07,2024-09-01,HH-3023,5000,37.57,SAR,187850.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0218,V-1110,Premier Manufacturing Group,2024-08-07,2024-08-28,BV-2016,250,33.32,SAR,8330.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0196,V-1026,Olaya Materials Trading Ltd,2024-08-08,2024-09-02,FG-1010,500,35.53,SAR,17765.0,Closed,fahad.albalawi@tamween.sa
PO-2024-0224,V-1061,Al-Rajhi Marketing LLC,2024-08-08,2024-09-04,CM-4003,1000,51.76,SAR,51760.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0286,V-1167,Misr Supply Chain Ltd,2024-08-09,2024-08-28,HH-3013,5000,5.81,SAR,29050.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0348,V-1197,Bayt Supply Chain Ltd,2024-08-09,2024-08-19,CM-4001,1500,40.11,SAR,60165.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0397,V-1204,Misr Confectionery Ltd,2024-08-09,2024-08-27,CM-4003,5000,47.67,SAR,238350.0,Closed,hala.alsaud@tamween.sa
PO-2024-0421,V-1456,Gulf BioPharma Co,2024-08-09,2024-08-24,FG-2241,4328,32.0,SAR,138496.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0264,V-1204,Misr Confectionery Ltd,2024-08-10,2024-08-28,BV-2010,3000,52.97,SAR,158910.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0311,V-1105,Amwaj Marketing Company,2024-08-10,2024-08-24,CM-4016,4200,25.45,SAR,106890.0,Closed,reem.alharbi@tamween.sa
PO-2024-0312,V-1186,Sulaiman Group Co LLC,2024-08-10,2024-09-09,HH-3008,4200,6.3,SAR,26460.0,Closed,omar.faridi@tamween.sa
PO-2024-0359,V-1082,Sulaiman Enterprises Group,2024-08-10,2024-09-03,BV-2024,2000,8.63,SAR,17260.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0338,V-1185,Mada Packaging Company,2024-08-11,2024-08-29,BV-2002,500,18.15,SAR,9075.0,Closed,sara.aldosari@tamween.sa
PO-2024-0109,V-1175,Desert Manufacturing Co,2024-08-12,2024-08-22,HH-3017,4200,37.25,SAR,156450.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0386,V-1071,Sulaiman Cleaning Group,2024-08-12,2024-08-28,FG-1015,250,5.53,SAR,1382.5,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0415,V-1127,Dar Marketing Group,2024-08-12,2024-09-11,HH-3019,500,58.83,SAR,29415.0,Closed,sara.aldosari@tamween.sa
PO-2024-0105,V-1042,Arabian Materials Trading Co LLC,2024-08-13,2024-08-23,CM-4012,1000,16.54,SAR,16540.0,Closed,omar.faridi@tamween.sa
PO-2024-0317,V-1005,Arabian Confectionery Co LLC,2024-08-14,2024-08-25,BV-2020,4200,29.03,SAR,121926.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0324,V-1048,Tigris Confectionery Co,2024-08-15,2024-08-27,FG-1028,500,10.81,SAR,5405.0,Closed,reem.alharbi@tamween.sa
PO-2024-0401,V-1056,Bayt Beverages Co,2024-08-15,2024-08-26,CM-4016,500,58.33,SAR,29165.0,Closed,omar.faridi@tamween.sa
PO-2024-0043,V-1013,Levant Co Ltd,2024-08-16,2024-09-03,CM-4007,1500,22.24,SAR,33360.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0240,V-1182,Diyar Hygiene Ltd,2024-08-16,2024-09-01,CM-4018,1000,27.37,SAR,27370.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0060,V-1176,Jamal Services Co LLC,2024-08-17,2024-08-27,BV-2004,1500,28.11,SAR,42165.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0128,V-1143,Hijaz Print Services Group,2024-08-17,2024-09-05,CM-4002,5000,48.8,SAR,244000.0,Closed,reem.alharbi@tamween.sa
PO-2024-0133,V-1121,Watani Group LLC,2024-08-17,2024-09-12,BV-2023,250,14.38,SAR,3595.0,Closed,sara.aldosari@tamween.sa
PO-2024-0165,V-1037,Premier Industries Co,2024-08-17,2024-09-05,FG-1004,1500,34.0,SAR,51000.0,Closed,omar.faridi@tamween.sa
PO-2024-0329,V-1042,Arabian Materials Trading Co LLC,2024-08-17,2024-09-06,HH-3015,1000,51.81,SAR,51810.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0369,V-1092,Maghrib Logistics Services Co,2024-08-18,2024-09-02,CM-4018,1500,11.75,SAR,17625.0,Closed,omar.faridi@tamween.sa
PO-2024-0056,V-1034,Madinah Foods Co LLC,2024-08-20,2024-09-12,CM-4013,250,42.67,SAR,10667.5,Closed,fahad.albalawi@tamween.sa
PO-2024-0099,V-1135,Misr Imports Group,2024-08-20,2024-09-19,FG-1029,3000,49.24,SAR,147720.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0111,V-1154,Maghrib Cosmetics LLC,2024-08-20,2024-08-30,HH-3001,250,34.88,SAR,8720.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0246,V-1142,Al-Rashid Pharma Trading Co LLC,2024-08-20,2024-09-01,HH-3022,500,42.0,SAR,21000.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0271,V-1102,Quick Supply Chain Company,2024-08-20,2024-09-19,BV-2015,2000,32.42,SAR,64840.0,Closed,omar.faridi@tamween.sa
PO-2024-0001,V-1078,Mediterranean Pharma Trading LLC,2024-08-21,2024-09-02,BV-2001,2000,55.58,SAR,111160.0,Closed,layla.alotaibi@tamween.sa
PO-2024-0161,V-1080,Oasis Commercial Trading LLC,2024-08-21,2024-09-08,FG-1030,1000,49.66,SAR,49660.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0205,V-1042,Arabian Materials Trading Co LLC,2024-08-21,2024-09-06,BV-2018,1000,40.59,SAR,40590.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0284,V-1067,Bordeaux Manufacturing Group,2024-08-21,2024-09-07,FG-1028,1500,20.83,SAR,31245.0,Closed,noor.alshamri@tamween.sa
PO-2024-0295,V-1160,Al-Faisal Foodstuff Co LLC,2024-08-21,2024-09-05,FG-1026,4200,18.62,SAR,78204.0,Closed,fahad.albalawi@tamween.sa
PO-2024-0303,V-1163,Tabuk Group Company,2024-08-21,2024-08-31,FG-1014,500,17.58,SAR,8790.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0319,V-1142,Al-Rashid Pharma Trading Co LLC,2024-08-21,2024-09-10,BV-2013,3000,19.53,SAR,58590.0,Closed,reem.alharbi@tamween.sa
PO-2024-0006,V-1119,Arabian Snacks Company,2024-08-22,2024-09-12,BV-2010,5000,26.17,SAR,130850.0,Closed,omar.faridi@tamween.sa
PO-2024-0093,V-1194,Watani Manufacturing Ltd,2024-08-22,2024-09-05,FG-1010,3000,15.85,SAR,47550.0,Closed,omar.faridi@tamween.sa
PO-2024-0122,V-1056,Bayt Beverages Co,2024-08-22,2024-09-03,BV-2015,250,24.87,SAR,6217.5,Closed,layla.alotaibi@tamween.sa
PO-2024-0289,V-1144,Arabian Co Company,2024-08-22,2024-09-06,HH-3017,500,12.28,SAR,6140.0,Closed,fahad.albalawi@tamween.sa
PO-2024-0331,V-1073,Bayt Confectionery Ltd,2024-08-22,2024-09-10,FG-1008,4200,42.18,SAR,177156.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0346,V-1051,Noor Marketing Co,2024-08-22,2024-09-15,FG-1007,1500,6.93,SAR,10395.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0293,V-1200,Tihama Manufacturing Ltd,2024-08-24,2024-09-16,HH-3022,500,35.16,SAR,17580.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0343,V-1192,Asir Co Ltd,2024-08-24,2024-09-10,FG-1015,2000,55.56,SAR,111120.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0418,V-1181,Gulf Hygiene Group,2024-08-24,2024-09-16,FG-1025,1000,30.35,SAR,30350.0,Closed,noor.alshamri@tamween.sa
PO-2024-0357,V-1172,Amwaj Commercial Company,2024-08-25,2024-09-14,BV-2013,1000,48.49,SAR,48490.0,Closed,reem.alharbi@tamween.sa
PO-2024-0036,V-1047,Tihama Wines & Spirits Co,2024-08-26,2024-09-17,FG-1001,500,38.65,SAR,19325.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0063,V-1126,Quick Wholesale LLC,2024-08-27,2024-09-20,HH-3015,3000,27.26,SAR,81780.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0156,V-1066,Al-Faisal Confectionery Ltd,2024-08-27,2024-09-14,HH-3021,2000,5.98,SAR,11960.0,Closed,layla.alotaibi@tamween.sa
PO-2024-0316,V-1123,Faridi Packaging Company,2024-08-27,2024-09-26,CM-4018,250,43.55,SAR,10887.5,Closed,layla.alotaibi@tamween.sa
PO-2024-0003,V-1017,Bin Laden Cosmetics Ltd,2024-08-28,2024-09-15,CM-4012,5000,57.81,SAR,289050.0,Closed,fahad.albalawi@tamween.sa
PO-2024-0202,V-1031,Noor Snacks Ltd,2024-08-28,2024-09-13,HH-3019,250,45.48,SAR,11370.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0301,V-1075,Bordeaux Enterprises Ltd,2024-08-28,2024-09-11,BV-2016,5000,10.75,SAR,53750.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0364,V-1098,Jeddah Dairy Group,2024-08-28,2024-09-20,BV-2014,500,19.95,SAR,9975.0,Closed,reem.alharbi@tamween.sa
PO-2024-0025,V-1065,Zahra Industries Company,2024-09-01,2024-09-21,HH-3008,1500,41.22,SAR,61830.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0078,V-1028,Rashid Trading Co LLC,2024-09-01,2024-09-24,HH-3021,4200,27.86,SAR,117012.0,Closed,noor.alshamri@tamween.sa
PO-2024-0102,V-1047,Tihama Wines & Spirits Co,2024-09-01,2024-09-24,CM-4010,1000,48.2,SAR,48200.0,Closed,sara.aldosari@tamween.sa
PO-2024-0153,V-1035,Arkan Imports Co LLC,2024-09-01,2024-09-22,BV-2017,5000,19.55,SAR,97750.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0166,V-1164,Mada Services Ltd,2024-09-01,2024-09-27,BV-2016,1000,7.78,SAR,7780.0,Closed,omar.faridi@tamween.sa
PO-2024-0024,V-1126,Quick Wholesale LLC,2024-09-02,2024-09-19,FG-1026,4200,9.45,SAR,39690.0,Closed,reem.alharbi@tamween.sa
PO-2024-0092,V-1032,Tigris Snacks Group,2024-09-02,2024-10-01,HH-3008,1500,21.64,SAR,32460.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0121,V-1083,Hijaz Holdings Co LLC,2024-09-02,2024-09-17,CM-4009,2000,22.86,SAR,45720.0,Closed,noor.alshamri@tamween.sa
PO-2024-0197,V-1184,Arkan Supply Chain Co LLC,2024-09-02,2024-09-16,FG-1030,4200,57.56,SAR,241752.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0047,V-1051,Noor Marketing Co,2024-09-03,2024-09-25,BV-2011,3000,33.19,SAR,99570.0,Closed,reem.alharbi@tamween.sa
PO-2024-0201,V-1091,Falcon Distribution Trading LLC,2024-09-03,2024-09-13,FG-1016,500,57.01,SAR,28505.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0116,V-1173,Arkan Supply Chain Company,2024-09-04,2024-10-02,BV-2013,1500,54.53,SAR,81795.0,Closed,omar.faridi@tamween.sa
PO-2024-0299,V-1149,Euphrates Marketing LLC,2024-09-04,2024-10-03,HH-3012,500,42.49,SAR,21245.0,Closed,omar.faridi@tamween.sa
PO-2024-0046,V-1042,Arabian Materials Trading Co LLC,2024-09-05,2024-09-16,CM-4015,4200,24.73,SAR,103866.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0062,V-1193,Tatweer Logistics Services LLC,2024-09-05,2024-09-16,HH-3009,500,31.7,SAR,15850.0,Closed,noor.alshamri@tamween.sa
PO-2024-0065,V-1192,Asir Co Ltd,2024-09-05,2024-10-02,CM-4011,250,15.74,SAR,3935.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0077,V-1174,Riyadh Holdings LLC,2024-09-05,2024-09-24,CM-4008,250,32.25,SAR,8062.5,Closed,sara.aldosari@tamween.sa
